,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp_to_date,mvrv_ratio
1000,1696344300,27400.00000000,27400.01000000,27258.05000000,27350.59000000,891.46655000,1696345199999,24357865.99440970,32940,396.11290000,10822086.97219800,0,2023-10-03 14:45:00,0.9999425091160525
1001,1696345200,27350.59000000,27381.54000000,27280.68000000,27365.67000000,441.39347000,1696346099999,12065186.54536670,23882,209.88369000,5737600.10589780,0,2023-10-03 15:00:00,1.0007698040784623
1002,1696346100,27365.66000000,27420.13000000,27361.84000000,27401.02000000,339.72714000,1696346999999,9309657.90550230,18102,183.32024000,5023688.53340080,0,2023-10-03 15:15:00,1.0005059852403475
1003,1696347000,27401.02000000,27410.60000000,27305.01000000,27325.62000000,456.86084000,1696347899999,12495351.20773430,19455,143.03335000,3911439.62065550,0,2023-10-03 15:30:00,0.9987228880985177
1004,1696347900,27325.62000000,27356.91000000,27234.55000000,27345.00000000,544.84161000,1696348799999,14878204.03270340,22902,280.09379000,7650401.78344120,0,2023-10-03 15:45:00,1.0010792399339277
1005,1696348800,27345.00000000,27405.15000000,27318.89000000,27360.87000000,438.34377000,1696349699999,11991797.33071900,20618,269.81363000,7381275.75058590,0,2023-10-03 16:00:00,1.0001240063160062
1006,1696349700,27360.88000000,27412.35000000,27357.31000000,27404.66000000,270.01985000,1696350599999,7397070.56664890,16060,149.53813000,4096457.21500560,0,2023-10-03 16:15:00,1.0007617642547784
1007,1696350600,27404.66000000,27442.59000000,27387.76000000,27415.65000000,222.38891000,1696351499999,6096735.26496450,13850,107.46304000,2946065.32072200,0,2023-10-03 16:30:00,1.0001088912734315
1008,1696351500,27415.65000000,27425.00000000,27385.16000000,27385.44000000,205.47773000,1696352399999,5629595.19665570,12153,97.22500000,2663612.70982360,0,2023-10-03 16:45:00,0.9993660322275313
1009,1696352400,27385.44000000,27447.14000000,27385.00000000,27409.40000000,251.16612000,1696353299999,6885464.45934200,11987,144.15767000,3951446.63200570,0,2023-10-03 17:00:00,1.0000968739629605
