,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp_to_date,mvrv_ratio
0,1696001400,26827.29000000,26880.64000000,26791.48000000,26877.45000000,418.64473000,1696002299999,11234136.19325820,13339,222.85235000,5980140.00365270,0,2023-09-29 15:30:00,1.001238069356843
1,1696002300,26877.45000000,26899.79000000,26840.62000000,26888.57000000,304.82138000,1696003199999,8191492.99143950,11418,151.40242000,4068886.74969830,0,2023-09-29 15:45:00,1.0004450896564978
2,1696003200,26888.57000000,26907.75000000,26831.65000000,26851.29000000,307.96826000,1696004099999,8276863.17104110,10441,110.67356000,2974645.13597020,0,2023-09-29 16:00:00,0.9993105646614984
3,1696004100,26851.30000000,26882.91000000,26842.75000000,26864.88000000,221.79412000,1696004999999,5959430.10657260,8281,99.93944000,2685041.92922260,0,2023-09-29 16:15:00,1.0001645541438977
4,1696005000,26864.87000000,26869.60000000,26819.83000000,26819.83000000,279.48693000,1696005899999,7503624.23264210,9510,118.21879000,3173496.86127700,0,2023-09-29 16:30:00,0.9991170126360978
5,1696005900,26819.84000000,26875.00000000,26809.57000000,26875.00000000,202.25395000,1696006799999,5428475.08956670,9445,102.81911000,2759724.93551900,0,2023-09-29 16:45:00,1.0011230272172291
6,1696006800,26875.00000000,26880.00000000,26849.25000000,26880.00000000,131.95166000,1696007699999,3544975.87576340,6619,60.96114000,1637719.15452990,0,2023-09-29 17:00:00,1.000332606870309
7,1696007700,26879.99000000,26882.91000000,26830.83000000,26845.27000000,211.52522000,1696008599999,5680430.52968260,7706,55.15631000,1481069.24135390,0,2023-09-29 17:15:00,0.9994609033963457
8,1696008600,26845.28000000,26866.13000000,26826.41000000,26862.18000000,185.41002000,1696009499999,4977410.43323240,6510,95.59447000,2566568.45890220,0,2023-09-29 17:30:00,1.0004536312849162
9,1696009500,26862.18000000,26869.62000000,26838.36000000,26840.95000000,118.94981000,1696010399999,3193719.94463630,6230,47.68956000,1280445.98080500,0,2023-09-29 17:45:00,0.9995595427698309
10,1696010400,26840.95000000,26840.95000000,26760.38000000,26760.38000000,347.35533000,1696011299999,9307045.96909740,11146,131.27671000,3516645.17626500,0,2023-09-29 18:00:00,0.998496865656132
11,1696011300,26760.39000000,26835.00000000,26750.00000000,26823.88000000,174.35358000,1696012199999,4672112.38118640,9555,87.02828000,2331907.49853810,0,2023-09-29 18:15:00,1.0011780429221921
12,1696012200,26823.88000000,26880.00000000,26823.54000000,26876.35000000,277.77328000,1696013099999,7457798.90567440,7085,158.40008000,4252956.03376390,0,2023-09-29 18:30:00,1.0009462423898154
13,1696013100,26876.35000000,26934.06000000,26865.01000000,26920.00000000,375.13530000,1696013999999,10092430.88740260,9945,215.60677000,5800291.62163290,0,2023-09-29 18:45:00,1.000786092939644
14,1696014000,26919.99000000,26944.99000000,26895.00000000,26930.01000000,241.73874000,1696014899999,6507411.40117280,8635,104.58929000,2815394.18556270,0,2023-09-29 19:00:00,1.000279041719662
15,1696014900,26930.01000000,26942.69000000,26902.54000000,26931.82000000,145.26147000,1696015799999,3911860.67587460,6792,66.06286000,1779060.48755620,0,2023-09-29 19:15:00,1.0001877314263337
