Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,high real,Lucro,Valor Previsto,Valor Real,Diferença
(Periodo atual: 3),,1041.0565004433886,,27556.64,41.056500443388586,27731.708466391385,27502.08,229.62846639138297
Compra (0),27532.84,0.0,0.0378114462744631,27568.24,,,,
(Periodo atual: 3),,1040.167175227013,,27532.72,40.167175227013104,27613.534725754947,27509.32,104.21472575494772
Compra (0),27468.92,0.0,0.037867057577327876,27509.32,,,,
(Periodo atual: 3),,1040.4356526652364,,27547.3,40.435652665236375,27549.10871777535,27476.01,73.09871777535227
Compra (0),27436.01,0.0,0.03792226539738236,27486.12,,,,
(Periodo atual: 3),,1043.6677673450554,,27532.07,43.66776734505538,27511.14835087203,27521.24,-10.091649127971323
Compra (0),27518.87,0.0,0.03792553136611552,27528.47,,,,
(Periodo atual: 3),,1042.8572987397615,,27544.16,42.85729873976152,27566.68265170364,27497.5,69.18265170363884
Compra (0),27498.19,0.0,0.037924579717420005,27515.0,,,,
(Periodo atual: 3),,1042.9661422835507,,27528.46,42.96614228355065,27558.621693758578,27501.06,57.56169375857644
Compra (0),27443.31,0.0,0.03800438585154453,27502.24,,,,
(Periodo atual: 3),,1038.3896541393076,,27460.19,38.389654139307595,27523.19468884695,27322.89,200.30468884695074
Compra (0),27403.03,0.0,0.037893242248733354,27409.4,,,,
(Periodo atual: 3),,1041.9523767755334,,27539.68,41.95237677553337,27468.792010296354,27497.05,-28.257989703644853
Compra (0),27589.76,0.0,0.03776590940898121,27589.76,,,,
(Periodo atual: 3),,1043.4947365157961,,27750.03,43.49473651579615,27646.326195859667,27630.6,15.726195859668223
Compra (0),27565.31,0.0,0.03785536010717079,27634.99,,,,
(Periodo atual: 3),,1043.721490122838,,27625.0,43.72149012283808,27649.477878249552,27571.3,78.17787824955303
Compra (0),27616.66,0.0,0.037793183177213974,27618.44,,,,
(Periodo atual: 3),,1042.7059872908665,,27603.09,42.70598729086646,27659.58346207225,27589.79,69.79346207224808
Compra (0),27569.6,0.0,0.037820860197132586,27597.58,,,,
(Periodo atual: 3),,1045.2936905455545,,27638.03,45.293690545554455,27624.422152164378,27638.02,-13.597847835622815
Compra (0),27620.21,0.0,0.03784524775682569,27638.03,,,,
(Periodo atual: 3),,1044.4777470039173,,27638.24,44.47774700391733,27665.705373912875,27598.65,67.05537391287362
