Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),26999.98,0.0,0.03703706447189961,,,,
(no final do período 1),,0.0,,x,27029.149963714837,26994.01,35.139963714838814
(no final do período 2),,0.0,,x,27029.149963714837,26999.0,30.149963714837213
Venda (3),,1001.2796305775041,,1.279630577504122,27029.149963714837,27034.53,-5.380036285161623
Compra (4),27020.7,0.0,0.03705602114591791,,,,
Venda por percentual de diferença (0),,1001.9540501623599,,1.954050162359863,27075.866184777286,27038.9,36.96618477728407
Compra (1),27029.71,0.0,0.037068620054094545,,,,
Venda por percentual de diferença (2),,1003.336339004177,,3.3363390041770344,27075.866184777286,27067.0,8.866184777285525
Compra (3),27064.15,0.0,0.03707252357839345,,,,
Venda (4),,1003.797891922728,,3.797891922728013,27075.866184777286,27076.6,-0.7338152227130195
Compra (0),27065.8,0.0,0.03708731653683719,,,,
(no final do período 1),,0.0,,x,27100.124244863542,26998.74,101.38424486354052
(no final do período 2),,0.0,,x,27100.124244863542,26999.28,100.84424486354328
(no final do período 3),,0.0,,x,27100.124244863542,27016.99,83.13424486354052
(no final do período 4),,0.0,,x,27100.124244863542,27029.28,70.84424486354328
(no final do período 0),,0.0,,x,27048.331639773314,27009.45,38.88163977331351
(no final do período 1),,0.0,,x,27048.331639773314,27010.29,38.04163977331336
(no final do período 2),,0.0,,x,27048.331639773314,26984.85,63.48163977331569
Venda por prejuizo (3),,1000.0962068591863,,0.09620685918628169,27048.331639773314,26965.99,82.34163977331264
Compra (4),26962.97,0.0,0.03709147051898164,,,,
(no final do período 0),,0.0,,x,26996.46499065455,26962.56,33.90499065454787
Venda por percentual de diferença (1),,1000.7530968020775,,0.7530968020774935,26996.46499065455,26980.68,15.784990654548892
Compra (2),26974.63,0.0,0.03709978957272361,,,,
Venda por percentual de diferença (3),,1001.3340795067865,,1.334079506786452,26996.46499065455,26990.29,6.17499065454831
Compra (4),26991.07,0.0,0.037098717446429,,,,
Venda por percentual de diferença (0),,1001.3700652627095,,1.370065262709545,27025.68337720898,26992.04,33.64337720898038
Compra (1),27020.19,0.0,0.03706006749999573,,,,
(no final do período 2),,0.0,,x,27025.68337720898,27013.48,12.203377208981692
(no final do período 3),,0.0,,x,27025.68337720898,27019.83,5.853377208979509
Venda (4),,1001.6921172492846,,1.6921172492845926,27025.68337720898,27028.88,-3.196622791019763
Compra (0),27039.52,0.0,0.03704548443349899,,,,
(no final do período 1),,0.0,,x,27072.55795283857,27022.17,50.387952838573256
(no final do período 2),,0.0,,x,27072.55795283857,27025.89,46.66795283857209
(no final do período 3),,0.0,,x,27072.55795283857,27013.91,58.647952838571655
Venda por percentual de diferença (4),,1001.761021850331,,1.7610218503309625,27072.55795283857,27041.38,31.17795283857049
Compra (0),27032.32,0.0,0.03705790038925001,,,,
Venda por percentual de diferença (1),,1002.222022131173,,2.2220221311730484,27065.534291914602,27044.76,20.774291914603964
Compra (2),27026.45,0.0,0.03708300654104305,,,,
Venda por percentual de diferença (3),,1002.4534200919891,,2.4534200919890736,27065.534291914602,27032.69,32.84429191460367
Compra (4),27030.72,0.0,0.03708570915210505,,,,
Venda por percentual de diferença (0),,1003.0004343019826,,3.0004343019826365,27075.15548358189,27045.47,29.685483581888548
Compra (1),27045.43,0.0,0.03708576400160702,,,,
Venda por percentual de diferença (2),,1003.9027309401416,,3.9027309401416233,27075.15548358189,27069.76,5.3954835818913125
Compra (3),27072.44,0.0,0.03708209274598601,,,,
(no final do período 4),,0.0,,x,27075.15548358189,27071.72,3.4354835818885476
Venda por percentual de diferença (0),,1004.8119838542731,,4.81198385427308,27134.790250060843,27096.96,37.830250060844264
Compra (1),27089.33,0.0,0.03709253731466496,,,,
Venda por percentual de diferença (2),,1005.3424071378728,,5.342407137872783,27134.790250060843,27103.63,31.160250060842372
Compra (3),27128.85,0.0,0.037058054695937086,,,,
Venda (4),,1006.0824564901507,,6.082456490150662,27134.790250060843,27148.82,-14.029749939156318
Compra (0),27107.95,0.0,0.037113926227920244,,,,
Venda por percentual de diferença (1),,1006.2175511816203,,6.2175511816202516,27168.744068720596,27111.59,57.154068720596115
Compra (2),27107.95,0.0,0.0371189098099126,,,,
(no final do período 3),,0.0,,x,27168.744068720596,27100.81,67.93406872059495
Venda por percentual de diferença (4),,1006.5070786781376,,6.5070786781376455,27168.744068720596,27115.75,52.99406872059626
Compra (0),27140.51,0.0,0.03708504662138396,,,,
