Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),214.7,0.0,4.657661853749418,,,,
(no final do período 1),,0.0,,x,[215.13075368],214.7,[0.43075368]
(no final do período 2),,0.0,,x,[215.13075368],214.5,[0.63075368]
(no final do período 3),,0.0,,x,[215.13075368],214.7,[0.43075368]
Venda por percentual de diferença (4),,1000.4657661853751,,0.46576618537505965,[215.13075368],214.8,[0.33075368]
Compra (0),215.2,0.0,4.649004489708992,,,,
Venda (1),,1002.3253679812586,,2.325367981258637,[215.58504976],215.6,[-0.01495024]
Compra (2),215.3,0.0,4.6554824337262355,,,,
Venda por percentual de diferença (3),,1003.2564644680037,,3.256464468003742,[215.58504976],215.5,[0.08504976]
Compra (4),215.5,0.0,4.6554824337262355,,,,
Venda por percentual de diferença (0),,1004.187560954749,,4.18756095474896,[216.061772],215.7,[0.361772]
Compra (1),215.7,0.0,4.6554824337262355,,,,
Venda por percentual de diferença (2),,1005.5842056848669,,5.584205684866902,[216.061772],216.0,[0.061772]
Compra (3),215.8,0.0,4.65979706063423,,,,
Venda (4),,1007.4481245091205,,7.4481245091204755,[216.061772],216.2,[-0.138228]
Compra (0),215.8,0.0,4.6684343119050995,,,,
Venda por percentual de diferença (1),,1008.3818113715015,,8.381811371501499,[216.34569478],216.0,[0.34569478]
Compra (2),216.1,0.0,4.666273999868124,,,,
(no final do período 3),,0.0,,x,[216.34569478],215.7,[0.64569478]
(no final do período 4),,0.0,,x,[216.34569478],215.9,[0.44569478]
(no final do período 0),,0.0,,x,[216.23059222],215.8,[0.43059222]
(no final do período 1),,0.0,,x,[216.23059222],215.8,[0.43059222]
(no final do período 2),,0.0,,x,[216.23059222],215.8,[0.43059222]
(no final do período 3),,0.0,,x,[216.23059222],215.9,[0.33059222]
(no final do período 4),,0.0,,x,[216.23059222],215.7,[0.53059222]
(no final do período 0),,0.0,,x,[215.96384578],215.5,[0.46384578]
(no final do período 1),,0.0,,x,[215.96384578],215.6,[0.36384578]
(no final do período 2),,0.0,,x,[215.96384578],215.7,[0.26384578]
(no final do período 3),,0.0,,x,[215.96384578],215.8,[0.16384578]
(no final do período 4),,0.0,,x,[215.96384578],215.7,[0.26384578]
(no final do período 0),,0.0,,x,[216.04043856],215.7,[0.34043856]
(no final do período 1),,0.0,,x,[216.04043856],215.7,[0.34043856]
(no final do período 2),,0.0,,x,[216.04043856],215.7,[0.34043856]
(no final do período 3),,0.0,,x,[216.04043856],215.5,[0.54043856]
(no final do período 4),,0.0,,x,[216.04043856],215.7,[0.34043856]
(no final do período 0),,0.0,,x,[215.99417657],215.7,[0.29417657]
Venda por prejuizo (1),,1003.7155373716334,,3.715537371633445,[215.99417657],215.1,[0.89417657]
Compra (2),215.2,0.0,4.664105656931382,,,,
Venda por percentual de diferença (3),,1004.6483585030198,,4.6483585030198356,[215.99417657],215.4,[0.59417657]
Compra (4),215.5,0.0,4.661941338761113,,,,
(no final do período 0),,0.0,,x,[215.58301792],215.0,[0.58301792]
(no final do período 1),,0.0,,x,[215.58301792],215.1,[0.48301792]
Venda por prejuizo (2),,1001.3849995658871,,1.3849995658871421,[215.58301792],214.8,[0.78301792]
Compra (3),214.8,0.0,4.661941338761113,,,,
(no final do período 4),,0.0,,x,[215.58301792],214.7,[0.88301792]
(no final do período 0),,0.0,,x,[214.91177697],214.6,[0.31177697]
(no final do período 1),,0.0,,x,[214.91177697],214.5,[0.41177697]
(no final do período 2),,0.0,,x,[214.91177697],214.6,[0.31177697]
(no final do período 3),,0.0,,x,[214.91177697],214.8,[0.11177697]
Venda por percentual de diferença (4),,1001.8511936997633,,1.8511936997632574,[214.91177697],214.9,[0.01177697]
Compra (0),214.7,0.0,4.666284088028706,,,,
Venda por percentual de diferença (1),,1003.2510789261719,,3.2510789261718855,[215.11789451],215.0,[0.11789451]
Compra (2),215.0,0.0,4.666284088028706,,,,
(no final do período 3),,0.0,,x,[215.11789451],214.8,[0.31789451]
(no final do período 4),,0.0,,x,[215.11789451],215.0,[0.11789451]
Venda por percentual de diferença (0),,1003.7177073349746,,3.717707334974648,[215.48498509],215.1,[0.38498509]
Compra (1),214.7,0.0,4.674977677386934,,,,
Venda por percentual de diferença (2),,1005.1202006381909,,5.120200638190909,[215.48498509],215.0,[0.48498509]
Compra (3),214.8,0.0,4.679330543008337,,,,
Venda por percentual de diferença (4),,1006.0560667467925,,6.056066746792453,[215.48498509],215.0,[0.48498509]
Compra (0),215.1,0.0,4.67715512202135,,,,
Venda por percentual de diferença (1),,1006.9914977711968,,6.991497771196805,[215.4713532],215.3,[0.1713532]
Compra (2),215.0,0.0,4.683681384982311,,,,
Venda por percentual de diferença (3),,1007.9282340481933,,7.928234048193303,[215.4713532],215.2,[0.2713532]
Compra (4),215.1,0.0,4.685858828675934,,,,
Venda por percentual de diferença (0),,1008.3968199310609,,8.396819931060918,[215.52916605],215.2,[0.32916605]
Compra (1),214.9,0.0,4.692400278878831,,,,
(no final do período 2),,0.0,,x,[215.52916605],214.9,[0.62916605]
(no final do período 3),,0.0,,x,[215.52916605],214.8,[0.72916605]
(no final do período 4),,0.0,,x,[215.52916605],214.9,[0.62916605]
Venda por percentual de diferença (0),,1008.8660599589488,,8.866059958948767,[215.26606542],215.0,[0.26606542]
Compra (1),215.0,0.0,4.692400278878831,,,,
(no final do período 2),,0.0,,x,[215.26606542],214.9,[0.36606542]
Venda por percentual de diferença (3),,1009.3352999868366,,9.335299986836617,[215.26606542],215.1,[0.16606542]
Compra (4),215.1,0.0,4.692400278878831,,,,
(no final do período 0),,0.0,,x,[215.38673133],215.0,[0.38673133]
(no final do período 1),,0.0,,x,[215.38673133],215.0,[0.38673133]
(no final do período 2),,0.0,,x,[215.38673133],214.9,[0.48673133]
(no final do período 3),,0.0,,x,[215.38673133],214.6,[0.78673133]
(no final do período 4),,0.0,,x,[215.38673133],215.0,[0.38673133]
(no final do período 0),,0.0,,x,[215.34626508],215.0,[0.34626508]
