Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),26928.5,0.0,0.03713537701691516,,,,
(no final do período 1),,0.0,,x,[26970.88232771],26928.06,[42.82232771]
(no final do período 2),,0.0,,x,[26970.88232771],26918.49,[52.39232771]
(no final do período 3),,0.0,,x,[26970.88232771],26931.6,[39.28232771]
(no final do período 4),,0.0,,x,[26970.88232771],26935.98,[34.90232771]
(no final do período 0),,0.0,,x,[27020.16850099],26973.39,[46.77850099]
(no final do período 1),,0.0,,x,[27020.16850099],26994.13,[26.03850099]
(no final do período 2),,0.0,,x,[27020.16850099],26978.66,[41.50850099]
(no final do período 3),,0.0,,x,[27020.16850099],26994.12,[26.04850099]
(no final do período 4),,0.0,,x,[27020.16850099],26992.38,[27.78850099]
(no final do período 0),,0.0,,x,[27067.12182011],27021.75,[45.37182011]
(no final do período 1),,0.0,,x,[27067.12182011],27016.41,[50.71182011]
(no final do período 2),,0.0,,x,[27067.12182011],27040.11,[27.01182011]
(no final do período 3),,0.0,,x,[27067.12182011],26996.29,[70.83182011]
(no final do período 4),,0.0,,x,[27067.12182011],27009.5,[57.62182011]
(no final do período 0),,0.0,,x,[27032.83538367],26989.45,[43.38538367]
(no final do período 1),,0.0,,x,[27032.83538367],27026.89,[5.94538367]
(no final do período 2),,0.0,,x,[27032.83538367],27020.92,[11.91538367]
(no final do período 3),,0.0,,x,[27032.83538367],26986.47,[46.36538367]
(no final do período 4),,0.0,,x,[27032.83538367],27013.26,[19.57538367]
(no final do período 0),,0.0,,x,[27062.2653252],27028.3,[33.9653252]
(no final do período 1),,0.0,,x,[27062.2653252],27017.55,[44.7153252]
(no final do período 2),,0.0,,x,[27062.2653252],27014.0,[48.2653252]
(no final do período 3),,0.0,,x,[27062.2653252],27008.69,[53.5753252]
(no final do período 4),,0.0,,x,[27062.2653252],26995.6,[66.6653252]
(no final do período 0),,0.0,,x,[27029.14996371],26999.98,[29.16996371]
(no final do período 1),,0.0,,x,[27029.14996371],26994.01,[35.13996371]
(no final do período 2),,0.0,,x,[27029.14996371],26999.0,[30.14996371]
Venda (3),,1003.9374640251034,,3.937464025103395,[27029.14996371],27034.53,[-5.38003629]
Compra (4),27020.7,0.0,0.03715438401022562,,,,
(no final do período 0),,0.0,,x,[27075.86618478],27038.9,[36.96618478]
(no final do período 1),,0.0,,x,[27075.86618478],27029.71,[46.15618478]
(no final do período 2),,0.0,,x,[27075.86618478],27067.0,[8.86618478]
(no final do período 3),,0.0,,x,[27075.86618478],27064.15,[11.71618478]
Venda (4),,1006.0143940912749,,6.01439409127488,[27075.86618478],27076.6,[-0.73381522]
Compra (0),27065.8,0.0,0.03716920963323733,,,,
(no final do período 1),,0.0,,x,[27100.12424486],26998.74,[101.38424486]
(no final do período 2),,0.0,,x,[27100.12424486],26999.28,[100.84424486]
(no final do período 3),,0.0,,x,[27100.12424486],27016.99,[83.13424486]
(no final do período 4),,0.0,,x,[27100.12424486],27029.28,[70.84424486]
(no final do período 0),,0.0,,x,[27048.33163977],27009.45,[38.88163977]
(no final do período 1),,0.0,,x,[27048.33163977],27010.29,[38.04163977]
(no final do período 2),,0.0,,x,[27048.33163977],26984.85,[63.48163977]
