Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),16.04,0.0,62.34413965087282,,,,
Venda por percentual de diferença (1),,1000.6234413965088,,0.6234413965088379,16.096803562632306,16.05,0.046803562632305784
Compra (2),16.07,0.0,62.266548935688164,,,,
(no final do período 3),,0.0,,x,16.096803562632306,16.03,0.06680356263230536
(no final do período 4),,0.0,,x,16.096803562632306,16.05,0.046803562632305784
Venda por prejuizo (0),,997.5101139497243,,-2.489886050275686,16.077976169794695,16.02,0.057976169794695664
Compra (1),16.08,0.0,62.03421106652515,,,,
Venda (2),,999.3711402817202,,-0.6288597182798412,16.077976169794695,16.11,-0.03202383020530419
Compra (3),16.04,0.0,62.304933932775576,,,,
(no final do período 4),,0.0,,x,16.077976169794695,16.0,0.07797616979469524
Venda por prejuizo (0),,996.2558935850815,,-3.7441064149185195,16.02747810272605,15.99,0.03747810272605001
Compra (1),15.93,0.0,62.53960411707982,,,,
Venda por percentual de diferença (2),,997.5066856674231,,-2.493314332576915,16.02747810272605,15.95,0.07747810272605093
Compra (3),15.93,0.0,62.618122138570186,,,,
(no final do período 4),,0.0,,x,16.02747810272605,15.9,0.12747810272604987
Venda por prejuizo (0),,994.3757795604946,,-5.624220439505393,15.932067795917455,15.88,0.05206779591745381
Compra (1),15.82,0.0,62.8556118559099,,,,
Venda por percentual de diferença (2),,999.4042285089674,,-0.5957714910325649,15.932067795917455,15.9,0.032067795917454234
Compra (3),15.9,0.0,62.8556118559099,,,,
(no final do período 4),,0.0,,x,15.932067795917455,15.87,0.06206779591745537
Venda por prejuizo (0),,996.2614479161718,,-3.7385520838281536,15.895325482986937,15.85,0.045325482986937615
Compra (1),15.89,0.0,62.6973850167509,,,,
Venda (2),,998.7693433168419,,-1.230656683158145,15.895325482986937,15.93,-0.034674517013062456
Compra (3),15.91,0.0,62.776200082768185,,,,
(no final do período 4),,0.0,,x,15.895325482986937,15.91,-0.014674517013062882
Venda por percentual de diferença (0),,999.3971053176695,,-0.6028946823305432,15.951913662198738,15.92,0.031913662198737924
Compra (1),15.91,0.0,62.81565715384472,,,,
(no final do período 2),,0.0,,x,15.951913662198738,15.87,0.08191366219873863
(no final do período 3),,0.0,,x,15.951913662198738,15.87,0.08191366219873863
Venda por prejuizo (4),,996.2563224599772,,-3.743677540022759,15.951913662198738,15.86,0.09191366219873842
Compra (0),15.82,0.0,62.97448308849413,,,,
Venda por percentual de diferença (1),,996.8860672908621,,-3.1139327091378846,15.870405677231673,15.83,0.04040567723167321
Compra (2),15.85,0.0,62.89502001835093,,,,
Venda por prejuizo (3),,993.112366089761,,-6.8876339102389466,15.870405677231673,15.79,0.08040567723167413
Compra (4),15.7,0.0,63.255564719093066,,,,
Venda por prejuizo (0),,989.3170322066156,,-10.682967793384364,15.719374604611028,15.64,0.07937460461102752
Compra (1),15.7,0.0,63.01382370742775,,,,
Venda por prejuizo (2),,983.6457880729471,,-16.354211927052916,15.719374604611028,15.61,0.10937460461102866
Compra (3),15.56,0.0,63.21631028746447,,,,
Venda por prejuizo (4),,967.841710501081,,-32.158289498918975,15.719374604611028,15.31,0.4093746046110276
Compra (0),15.43,0.0,62.72467339605191,,,,
Venda por percentual de diferença (1),,970.9779441708836,,-29.022055829116425,15.518887570108742,15.48,0.03888757010874144
Compra (2),15.53,0.0,62.522726604693084,,,,
(no final do período 3),,0.0,,x,15.518887570108742,15.49,0.028887570108741656
Venda por prejuizo (4),,967.8518078406489,,-32.14819215935108,15.518887570108742,15.48,0.03888757010874144
Compra (0),15.53,0.0,62.321429996178296,,,,
(no final do período 1),,0.0,,x,15.573282169552153,15.53,0.04328216955215325
(no final do período 2),,0.0,,x,15.573282169552153,15.5,0.07328216955215261
(no final do período 3),,0.0,,x,15.573282169552153,15.5,0.07328216955215261
Venda por percentual de diferença (4),,968.4750221406107,,-31.52497785938931,15.573282169552153,15.54,0.03328216955215346
Compra (0),15.53,0.0,62.36155969997493,,,,
(no final do período 1),,0.0,,x,15.580009101837172,15.53,0.050009101837172665
(no final do período 2),,0.0,,x,15.580009101837172,15.53,0.050009101837172665
(no final do período 3),,0.0,,x,15.580009101837172,15.5,0.08000910183717203
(no final do período 4),,0.0,,x,15.580009101837172,15.52,0.06000910183717245
(no final do período 0),,0.0,,x,15.544561038282785,15.5,0.04456103828278479
(no final do período 1),,0.0,,x,15.544561038282785,15.5,0.04456103828278479
(no final do período 2),,0.0,,x,15.544561038282785,15.51,0.034561038282785006
(no final do período 3),,0.0,,x,15.544561038282785,15.53,0.014561038282785432
Venda por percentual de diferença (4),,969.0986377376104,,-30.901362262389625,15.544561038282785,15.54,0.0045610382827856455
Compra (0),15.54,0.0,62.36155969997493,,,,
(no final do período 1),,0.0,,x,15.582359162833402,15.52,0.06235916283340259
(no final do período 2),,0.0,,x,15.582359162833402,15.5,0.08235916283340217
(no final do período 3),,0.0,,x,15.582359162833402,15.53,0.052359162833402806
Venda por percentual de diferença (4),,971.5931001256095,,-28.406899874390547,15.582359162833402,15.58,0.0023591628334020953
Compra (0),15.59,0.0,62.321558699525944,,,,
(no final do período 1),,0.0,,x,15.63762388445397,15.58,0.057623884453969154
Venda por percentual de diferença (2),,972.8395312995999,,-27.160468700400088,15.63762388445397,15.61,0.027623884453969794
Compra (3),15.59,0.0,62.401509384194995,,,,
Venda por percentual de diferença (4),,974.7115765811258,,-25.28842341887423,15.63762388445397,15.62,0.017623884453970007
Compra (0),15.65,0.0,62.281889877388224,,,,
Venda por percentual de diferença (1),,976.5800332774473,,-23.419966722552658,15.684708806084945,15.68,0.004708806084945394
Compra (2),15.64,0.0,62.44117859830226,,,,
(no final do período 3),,0.0,,x,15.684708806084945,15.64,0.04470880608494454
(no final do período 4),,0.0,,x,15.684708806084945,15.61,0.07470880608494568
(no final do período 0),,0.0,,x,15.661196665854254,15.62,0.04119666585425463
